name	country	code	lat	lng
Chau Doc	Vietnam	VNM	10.70039206840	105.11667394900
Chauk	Myanmar	MMR	20.90847698870	94.82303869530
Cheboksary	Russia	RUS	56.12997051910	47.25002518590
Chegdomyn	Russia	RUS	51.11779583650	133.02411779700
Chegga	Mauritania	MRT	25.38040040990	-5.77996789695
Chelyabinsk	Russia	RUS	55.15499127110	61.43866817100
Chelyuskin	Russia	RUS	77.71697328610	104.25000850300
Chemnitz	Germany	DEU	50.82998394680	12.91997595080
Chengde	China	CHN	40.96037965810	117.93000036500
Chengdu	China	CHN	30.67000001930	104.07001949000
Chennai	India	IND	13.08998781220	80.27999873750
Chenzhou	China	CHN	25.80042645160	113.03009273200
Cheongju	Korea, South	KOR	36.64389894520	127.50119909600
Chepes	Argentina	ARG	-31.34998696010	-66.59995060390
Cherbourg	French Republic	FRA	49.65039186510	-1.64998742818
Cheremkhovo	Russia	RUS	53.15880820630	103.07385290400
Cherepanovo	Russia	RUS	54.23362632150	83.36880244850
Cherepovets	Russia	RUS	59.14043275870	37.90997513710
Cherkasy	Ukraine	UKR	49.43472027500	32.07090002310
Cherkessk	Russia	RUS	44.29040895490	42.06000606160
Cherlak	Russia	RUS	54.16047833160	74.82002193090
Chernihiv	Ukraine	UKR	51.50492982900	31.30154129920
Chernivtsi	Ukraine	UKR	48.30530600900	25.92155960970
Chernobyl	Ukraine	UKR	51.38940716460	30.09887569040
Chernogorsk	Russia	RUS	53.83132529610	91.22268998100
Chernyakhovsk	Russia	RUS	54.63163820300	21.81085445020
Chernyshevskiy	Russia	RUS	63.01275453610	112.47141882200
Cherskiy	Russia	RUS	68.75005291660	161.33003861400
Chesterfield Inlet	Canada	CAN	63.33829022130	-90.70008162610
Chester	United Kingdom	GBR	53.20002016100	-2.91998742818
Chetumal	Mexico	MEX	18.50001934710	-88.29999556650
Chevery	Canada	CAN	50.48132305820	-59.60978296060
Cheyenne	United States	USA	41.14000693670	-104.81971073600
