SRC_NAME	COUNTRY	PRICE	LAT	LNG
Barcelona	Belgium	19	50.680293000000006	4.4691305
Barcelona	Bermuda	1677	32.364042	-64.678703
Barcelona	Brazil	570	-23.219787500000002	-46.8019775
Barcelona	Bulgaria	77	42.695194	23.406167
Barcelona	Canada	728	44.275000666666664	-77.66731499999999
Barcelona	Chile	2721	-33.392975	-70.785803
Barcelona	China	323	34.951649	117.72448066666668
Barcelona	Croatia	80	43.94774266666667	16.878328666666665
Barcelona	Cyprus	238	34.796578	33.0552905
Barcelona	Czech Republic	97	50.100833	14.26
Barcelona	Denmark	65	56.15034266666667	10.552304666666666
Barcelona	Egypt	209	30.121944	31.405556
Barcelona	El Salvador	1858	13.440947	-89.055728
Barcelona	Estonia	257	59.413317	24.832844
Barcelona	Finland	89	60.8656845	24.283862499999998
Barcelona	France	30	46.2795126923077	2.584061
Barcelona	Georgia	144	41.669167	44.954722
Barcelona	Germany	34	51.27755417647059	10.086026764705881
Barcelona	Gibraltar	524	36.151219	-5.349664
Barcelona	Greece	89	37.33925299999999	25.168223666666666
Barcelona	Guatemala	1782	14.583272	-90.527475
Barcelona	Hong Kong	417	22.308919	113.914603
Barcelona	Hungary	66	47.436933	19.255592
Barcelona	India	417	19.088686	72.867919
Barcelona	Iran	152	35.416111	51.152222
Barcelona	Iraq	471	36.237611	43.963158
Barcelona	Ireland	81	53.05763299999999	-7.859892666666667
Barcelona	Israel	112	32.011389	34.886667
Barcelona	Italy	17	42.14434868421052	11.839959421052633
Barcelona	Japan	373	35.764722	140.386389
Barcelona	Latvia	917	56.923611	23.971111
Barcelona	Lebanon	455	33.820931	35.488389
Barcelona	Lithuania	77	54.634133	25.285767
Barcelona	Luxembourg	56	49.626575	6.211517
Barcelona	Malaysia	1275	2.745578	101.709917
Barcelona	Malta	97	35.857497	14.4775
Barcelona	Mexico	1841	20.2364155	-92.97459
Barcelona	Morocco	34	33.9234662	-5.9098648
Barcelona	Nepal	616	27.696583	85.3591
Barcelona	Netherlands	34	51.905232000000005	4.858546333333334
Barcelona	Norway	25	60.85758175	9.546909124999999
Barcelona	Peru	689	-12.021889	-77.114319
Barcelona	Poland	49	51.76983616666667	18.668393333333334
Barcelona	Portugal	35	39.014597	-8.594406333333334
Barcelona	Romania	77	45.678664	24.8941725
Barcelona	Russia	114	54.386813636363634	43.162491272727266
Barcelona	Saudi Arabia	396	21.679564	39.156536
Barcelona	Senegal	287	14.739708	-17.490225
Barcelona	Serbia	200	42.572778	21.035833
Barcelona	Singapore	470	1.350189	103.994433
Barcelona	Spain	32	37.945442500000006	-5.938471571428572
Barcelona	Sweden	45	58.70113866666666	15.703539666666666
Barcelona	Switzerland	27	47.09759533333334	7.395761333333334
Barcelona	Tanzania	952	-3.429406	37.074461
Barcelona	Thailand	445	13.681108	100.747283
Barcelona	Turkey	127	39.223794399999996	31.7991308
Barcelona	Ukraine	94	49.65820125	30.760063000000002
Barcelona	United Arab Emirates	161	25.252778	55.364444
Barcelona	United Kingdom	23	53.14336547368421	-2.217375578947368
Barcelona	United States	373	36.615016	-86.35792620000002
Barcelona	Uzbekistan	444	41.257861	69.281186
Barcelona	Venezuela	1312	10.176092	-65.0719915
Berlin	Argentina	1217	-34.822222	-58.535833
Berlin	Australia	630	-31.940278	115.966944
Berlin	Austria	67	47.4660934	14.471151
Berlin	Belgium	39	50.901389	4.484444
Berlin	Bulgaria	167	42.900827500000005	27.670171000000003
Berlin	China	453	30.98295733333333	116.94322433333333
Berlin	Croatia	84	44.3779165	15.4341155
Berlin	Cuba	707	22.989153	-82.409086
Berlin	Czech Republic	93	50.100833	14.26
Berlin	Denmark	37	55.617917	12.655972
Berlin	Egypt	350	29.407036666666666	32.40194466666667
Berlin	El Salvador	2451	13.440947	-89.055728
Berlin	Estonia	114	59.413317	24.832844
Berlin	Finland	104	60.55966566666667	26.023687666666664
Berlin	France	54	45.32400175000001	3.3801296250000004
Berlin	Germany	34	49.485067	9.148439571428572
Berlin	Ghana	395	5.605186	-0.166786
Berlin	Greece	144	37.564425400000005	24.3785062
Berlin	Hungary	61	47.436933	19.255592
Berlin	Iceland	316	63.985	-22.605556
Berlin	India	641	16.019336	75.2680625
Berlin	Indonesia	529	-6.125567	106.655897
Berlin	Iran	194	35.416111	51.152222
Berlin	Ireland	60	53.421333	-6.270075
Berlin	Israel	154	32.011389	34.886667
Berlin	Italy	34	42.08056428571428	12.05917842857143
Berlin	Japan	396	35.764722	140.386389
Berlin	Jordan	650	31.722556	35.993214
Berlin	Kazakhstan	972	43.352072	77.040508
Berlin	Kyrgyzstan	199	43.061306	74.477556
Berlin	Latvia	632	56.923611	23.971111
Berlin	Lebanon	260	33.820931	35.488389
Berlin	Luxembourg	198	49.626575	6.211517
Berlin	Maldives	509	4.191833	73.529128
Berlin	Malta	702	35.857497	14.4775
Berlin	Morocco	144	32.4871765	-7.8131335
Berlin	Netherlands	39	51.879376	5.0692085
Berlin	Norway	25	61.48543457142858	10.755865428571429
Berlin	Poland	80	52.20701666666667	19.739393333333336
Berlin	Portugal	135	38.514554000000004	-8.4372825
Berlin	Romania	105	44.572161	26.102178
Berlin	Russia	127	54.68244855555556	43.98460133333333
Berlin	Serbia	305	42.572778	21.035833
Berlin	Slovakia	239	48.170167	17.212667
Berlin	Slovenia	675	46.223686	14.457611
Berlin	Spain	89	37.04242716666667	-4.2702517222222225
Berlin	Sri Lanka	471	7.180756	79.884117
Berlin	Sweden	19	58.864447	16.26306725
Berlin	Switzerland	34	47.189377	7.684112750000001
Berlin	Thailand	453	13.681108	100.747283
Berlin	Tunisia	741	36.851033	10.227217
Berlin	Turkey	127	38.689490562500005	33.400319124999996
Berlin	Ukraine	110	50.363898	30.746380333333335
Berlin	United Arab Emirates	203	25.252778	55.364444
Berlin	United Kingdom	23	52.694054933333334	-1.5910082
Berlin	United States	569	39.472813625	-103.16629875
Berlin	Vietnam	480	10.818797	106.651856
Brussels	Albania	116	41.414742	19.720561
Brussels	Algeria	394	36.691014	3.215408
Brussels	Austria	174	48.110278	16.569722
Brussels	Bahrain	315	26.270834	50.63361
Brussels	Bulgaria	254	42.695194	23.406167
Brussels	Canada	1100	47.35166666666667	-87.16731466666666
Brussels	China	408	31.170827727272727	115.27933036363635
Brussels	Croatia	224	44.195011	15.52685
Brussels	Cuba	302	23.034445	-81.435278
Brussels	Czech Republic	235	50.100833	14.26
Brussels	Denmark	61	55.69952033333333	10.319842666666666
Brussels	Ecuador	1313	-0.141144	-78.488214
Brussels	Estonia	163	59.413317	24.832844
Brussels	France	64	45.100214375	3.625093875
Brussels	Gambia	979	13.337961	-16.652206
Brussels	Georgia	124	41.669167	44.954722
Brussels	Germany	53	50.673622333333334	12.028811500000002
Brussels	Greece	90	37.63383922222222	23.711241444444443
Brussels	Hong Kong	342	22.308919	113.914603
Brussels	Hungary	172	47.436933	19.255592
Brussels	India	320	28.5665	77.103088
Brussels	Indonesia	577	-8.748169	115.167172
Brussels	Ireland	57	52.63130099999999	-7.380593
Brussels	Israel	257	32.011389	34.886667
Brussels	Italy	24	42.90727018749999	11.587525750000001
Brussels	Japan	442	35.0997221	137.815278
Brussels	Kyrgyzstan	424	43.061306	74.477556
Brussels	Latvia	142	56.923611	23.971111
Brussels	Lebanon	177	33.820931	35.488389
Brussels	Lithuania	155	54.634133	25.285767
Brussels	Macedonia	257	41.961622	21.621381
Brussels	Malta	189	35.857497	14.4775
Brussels	Mexico	302	20.2364155	-92.97459
Brussels	Morocco	81	31.785235333333333	-8.390859333333333
Brussels	Norway	61	59.69031	10.6794945
Brussels	Panama	2385	9.071364	-79.383453
Brussels	Poland	105	52.25084366666667	19.586856333333333
