SRC	DST	PRICE	SRC_LAT	SRC_LNG	DST_LAT	DST_LNG
Amsterdam	Aberdeen	107	52.3499686881	4.91664017601	57.201944	-2.197778
Amsterdam	Agadir	221	52.3499686881	4.91664017601	30.381353	-9.546311
Amsterdam	Alanya	118	52.3499686881	4.91664017601	36.2993	32.3014
Amsterdam	Alicante	81	52.3499686881	4.91664017601	38.282169	-0.558156
Amsterdam	Almeria	141	52.3499686881	4.91664017601	36.843936	-2.370097
Amsterdam	Amman	1097	52.3499686881	4.91664017601	31.722556	35.993214
Amsterdam	Ankara	108	52.3499686881	4.91664017601	40.128082	32.995083
Amsterdam	Antalya	112	52.3499686881	4.91664017601	36.898731	30.800461
Amsterdam	Athens	106	52.3499686881	4.91664017601	37.936358	23.944467
Amsterdam	Atlanta	2134	52.3499686881	4.91664017601	33.636719	-84.428067
Amsterdam	Avignon	199	52.3499686881	4.91664017601	43.9073	4.901831
Amsterdam	Aviles	149	52.3499686881	4.91664017601	43.563567	-6.034622
Amsterdam	Bahrain	314	52.3499686881	4.91664017601	26.270834	50.63361
Amsterdam	Baku	148	52.3499686881	4.91664017601	40.4675	50.046667
Amsterdam	Bangkok	421	52.3499686881	4.91664017601	13.681108	100.747283
Amsterdam	Barcelona	80	52.3499686881	4.91664017601	41.297078	2.078464
Amsterdam	Bari	135	52.3499686881	4.91664017601	41.138856	16.760594
Amsterdam	Basel	33	52.3499686881	4.91664017601	47.59	7.529167
Amsterdam	Beijing	713	52.3499686881	4.91664017601	40.080111	116.584556
Amsterdam	Beirut	146	52.3499686881	4.91664017601	33.820931	35.488389
Amsterdam	Belfast	49	52.3499686881	4.91664017601	54.6575	-6.215833
Amsterdam	Bergamo	131	52.3499686881	4.91664017601	45.673889	9.704166
Amsterdam	Bergen	107	52.3499686881	4.91664017601	60.293386	5.218142
Amsterdam	Berlin	47	52.3499686881	4.91664017601	52.499790999999995	13.365974000000001
Amsterdam	Bilbao	135	52.3499686881	4.91664017601	43.301097	-2.910608
Amsterdam	Birmingham	44	52.3499686881	4.91664017601	52.453856	-1.748028
Amsterdam	Bodrum	104	52.3499686881	4.91664017601	37.249	27.667
Amsterdam	Boise	1189	52.3499686881	4.91664017601	43.564361	-116.222861
Amsterdam	Bologna	139	52.3499686881	4.91664017601	44.535444	11.288667
Amsterdam	Bordeaux	147	52.3499686881	4.91664017601	44.828335	-0.715556
Amsterdam	Boston	2223	52.3499686881	4.91664017601	42.364347	-71.005181
Amsterdam	Bourgas	176	52.3499686881	4.91664017601	42.569583	27.515236
Amsterdam	Bremen	356	52.3499686881	4.91664017601	53.0475	8.786667
Amsterdam	Bristol	35	52.3499686881	4.91664017601	51.382669	-2.719089
Amsterdam	Brussels	111	52.3499686881	4.91664017601	50.901389	4.484444
Amsterdam	Bucharest	169	52.3499686881	4.91664017601	44.572161	26.102178
Amsterdam	Buenos Aires	1818	52.3499686881	4.91664017601	-34.822222	-58.535833
Amsterdam	Cagliari	165	52.3499686881	4.91664017601	39.251469	9.054283
Amsterdam	Cairo	248	52.3499686881	4.91664017601	30.121944	31.405556
Amsterdam	Calgary	953	52.3499686881	4.91664017601	51.113888	-114.020278
Amsterdam	Cancun	1775	52.3499686881	4.91664017601	21.036528	-86.877083
Amsterdam	Cape Town	746	52.3499686881	4.91664017601	-33.964806	18.601667
Amsterdam	Cardiff	123	52.3499686881	4.91664017601	51.396667	-3.343333
Amsterdam	Casablanca	68	52.3499686881	4.91664017601	33.367467	-7.589967
Amsterdam	Catania	684	52.3499686881	4.91664017601	37.466781	15.0664
Amsterdam	Colombo	805	52.3499686881	4.91664017601	7.180756	79.884117
Amsterdam	Copenhagen	80	52.3499686881	4.91664017601	55.617917	12.655972
Amsterdam	Cork	78	52.3499686881	4.91664017601	51.841269	-8.491111
Amsterdam	Cuneo	131	52.3499686881	4.91664017601	44.547019	7.623217
Amsterdam	Dalaman	118	52.3499686881	4.91664017601	36.713056	28.7925
Amsterdam	Dammam	1119	52.3499686881	4.91664017601	26.471161	49.79789
Amsterdam	Delhi	339	52.3499686881	4.91664017601	28.5665	77.103088
Amsterdam	Diyabakir	139	52.3499686881	4.91664017601	37.893897	40.201019
Amsterdam	Donetsk	84	52.3499686881	4.91664017601	48.073611	37.739722
Amsterdam	Dubai	146	52.3499686881	4.91664017601	25.252778	55.364444
Amsterdam	Dublin	74	52.3499686881	4.91664017601	53.421333	-6.270075
Amsterdam	Dubrovnik	188	52.3499686881	4.91664017601	42.561353	18.268244
Amsterdam	Durban	746	52.3499686881	4.91664017601	-29.970089	30.950519
Amsterdam	East Midlands	58	52.3499686881	4.91664017601	52.831111	-1.328056
Amsterdam	Edinburgh	49	52.3499686881	4.91664017601	55.95	-3.3725
Amsterdam	El Aroui	148	52.3499686881	4.91664017601	34.9888	-3.02821
Amsterdam	Erbil	485	52.3499686881	4.91664017601	36.237611	43.963158
Amsterdam	Exeter	50	52.3499686881	4.91664017601	50.734444	-3.413889
Amsterdam	Faro	98	52.3499686881	4.91664017601	37.014425	-7.965911
Amsterdam	Florence	174	52.3499686881	4.91664017601	43.809953	11.2051
Amsterdam	Gassim	446	52.3499686881	4.91664017601	26.302822	43.773911
Amsterdam	Geneva	36	52.3499686881	4.91664017601	46.238064	6.10895
Amsterdam	Genoa	464	52.3499686881	4.91664017601	44.413333	8.8375
Amsterdam	Gerona	64	52.3499686881	4.91664017601	41.900969	2.760547
